time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-01T13:17:18.190Z,34.1651667,-117.6355,9.27,1.59,ml,67,88,0.04441,0.14,ci,ci37410482,2018-11-01T17:44:02.050Z,"7km NW of Rancho Cucamonga, CA",earthquake,0.14,0.24,0.154,20,reviewed,ci,ci
2018-11-01T13:17:07.077Z,61.6655,-150.975,55,1.9,ml,,,,0.47,ak,ak20308803,2018-11-01T13:22:10.261Z,"50km W of Willow, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-11-01T13:03:54.130Z,33.4761667,-116.4843333,10.54,0.61,ml,24,142,0.09,0.18,ci,ci37410458,2018-11-01T15:58:07.271Z,"20km ESE of Anza, CA",earthquake,0.42,0.65,0.12,14,reviewed,ci,ci
2018-11-01T13:02:09.027Z,59.5287,-138.899,1.1,3,ml,,,,0.85,ak,ak20308649,2018-11-01T16:53:23.040Z,"46km E of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-01T13:00:59.860Z,38.8325005,-122.793335,1.59,0.8,md,9,180,0.006346,0.02,nc,nc73104786,2018-11-01T14:19:02.124Z,"6km W of Cobb, CA",earthquake,0.62,0.47,0.06,2,automatic,nc,nc
2018-11-01T12:52:31.160Z,11.0212,-86.6736,29.63,4.5,mb,,200,1.195,0.55,us,us2000i59s,2018-11-01T14:31:08.040Z,"86km SSW of Masachapa, Nicaragua",earthquake,9.2,10.7,0.086,40,reviewed,us,us
2018-11-01T12:50:12.840Z,33.505,-116.797,2.87,1.16,ml,50,30,0.007865,0.15,ci,ci37410442,2018-11-01T15:58:32.480Z,"9km NE of Aguanga, CA",earthquake,0.15,0.58,0.103,27,reviewed,ci,ci
2018-11-01T12:40:41.848Z,69.3717,-144.1036,0,2.4,ml,,,,0.57,ak,ak20308646,2018-11-01T12:54:14.453Z,"86km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-01T12:33:49.370Z,37.0747,-114.8639,12.4,1.1,ml,14,226.6,0.364,0.1631,nn,nn00663720,2018-11-01T18:10:31.182Z,"41km SE of Alamo, Nevada",earthquake,,2.4,0.13,6,reviewed,nn,nn
2018-11-01T12:31:03.100Z,33.4403333,-116.4278333,6.87,0.38,ml,19,144,0.1242,0.11,ci,ci37410434,2018-11-01T17:33:15.828Z,"21km NNW of Borrego Springs, CA",earthquake,0.25,0.56,0.153,9,reviewed,ci,ci
2018-11-01T12:20:59.640Z,45.827,-111.7385,6.18,-0.09,ml,4,131,0.098,0.03,mb,mb80318249,2018-11-01T17:44:11.740Z,"16km WSW of Three Forks, Montana",earthquake,0.38,1.38,,0,reviewed,mb,mb
2018-11-01T12:13:54.570Z,37.6116667,-118.8276667,4.65,0.39,md,12,176,0.02163,0.07,nc,nc73104781,2018-11-01T17:38:03.203Z,"14km ESE of Mammoth Lakes, CA",earthquake,0.63,0.71,0.24,10,reviewed,nc,nc
