time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-01T13:28:37.300Z,37.6166667,-119.1356667,2.32,2.46,md,40,61,0.04735,0.06,nc,nc73104791,2018-11-01T20:31:02.424Z,"14km W of Mammoth Lakes, CA",earthquake,0.29,0.41,0.254,37,reviewed,nc,nc
2018-11-01T13:27:07.910Z,33.5143333,-116.7983333,4.11,0.57,ml,23,41,0.002583,0.12,ci,ci37410506,2018-11-01T15:57:52.271Z,"10km NE of Aguanga, CA",earthquake,0.18,0.38,0.112,17,reviewed,ci,ci
2018-11-01T13:21:05.460Z,33.4921667,-116.7913333,4.96,0.26,ml,20,96,0.02151,0.12,ci,ci37410490,2018-11-01T16:41:18.384Z,"9km NE of Aguanga, CA",earthquake,0.21,0.5,0.118,5,reviewed,ci,ci
2018-11-01T13:19:27.070Z,17.7885,-66.887,17,1.81,md,3,271,0.2397,0.2,pr,pr2018305006,2018-11-01T16:07:26.121Z,"20km S of Guanica, Puerto Rico",earthquake,3.38,8.6,0.09,3,reviewed,pr,pr
2018-11-01T13:17:18.190Z,34.1651667,-117.6355,9.27,1.59,ml,67,88,0.04441,0.14,ci,ci37410482,2018-11-01T17:44:02.050Z,"7km NW of Rancho Cucamonga, CA",earthquake,0.14,0.24,0.154,20,reviewed,ci,ci
2018-11-01T13:17:07.077Z,61.6655,-150.975,55,1.9,ml,,,,0.47,ak,ak20308803,2018-11-01T13:22:10.261Z,"50km W of Willow, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-11-01T13:03:54.130Z,33.4761667,-116.4843333,10.54,0.61,ml,24,142,0.09,0.18,ci,ci37410458,2018-11-01T15:58:07.271Z,"20km ESE of Anza, CA",earthquake,0.42,0.65,0.12,14,reviewed,ci,ci
2018-11-01T13:02:09.027Z,59.5287,-138.899,1.1,3,ml,,,,0.85,ak,ak20308649,2018-11-01T16:53:23.040Z,"46km E of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-01T13:00:59.860Z,38.8325005,-122.793335,1.59,0.8,md,9,180,0.006346,0.02,nc,nc73104786,2018-11-01T14:19:02.124Z,"6km W of Cobb, CA",earthquake,0.62,0.47,0.06,2,automatic,nc,nc
2018-11-01T12:52:31.160Z,11.0212,-86.6736,29.63,4.5,mb,,200,1.195,0.55,us,us2000i59s,2018-11-01T14:31:08.040Z,"86km SSW of Masachapa, Nicaragua",earthquake,9.2,10.7,0.086,40,reviewed,us,us
2018-11-01T12:50:12.840Z,33.505,-116.797,2.87,1.16,ml,50,30,0.007865,0.15,ci,ci37410442,2018-11-01T15:58:32.480Z,"9km NE of Aguanga, CA",earthquake,0.15,0.58,0.103,27,reviewed,ci,ci
2018-11-01T12:40:41.848Z,69.3717,-144.1036,0,2.4,ml,,,,0.57,ak,ak20308646,2018-11-01T12:54:14.453Z,"86km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-01T12:33:49.370Z,37.0747,-114.8639,12.4,1.1,ml,14,226.6,0.364,0.1631,nn,nn00663720,2018-11-01T18:10:31.182Z,"41km SE of Alamo, Nevada",earthquake,,2.4,0.13,6,reviewed,nn,nn
2018-11-01T12:31:03.100Z,33.4403333,-116.4278333,6.87,0.38,ml,19,144,0.1242,0.11,ci,ci37410434,2018-11-01T17:33:15.828Z,"21km NNW of Borrego Springs, CA",earthquake,0.25,0.56,0.153,9,reviewed,ci,ci
2018-11-01T12:20:59.640Z,45.827,-111.7385,6.18,-0.09,ml,4,131,0.098,0.03,mb,mb80318249,2018-11-01T17:44:11.740Z,"16km WSW of Three Forks, Montana",earthquake,0.38,1.38,,0,reviewed,mb,mb
2018-11-01T12:13:54.570Z,37.6116667,-118.8276667,4.65,0.39,md,12,176,0.02163,0.07,nc,nc73104781,2018-11-01T17:38:03.203Z,"14km ESE of Mammoth Lakes, CA",earthquake,0.63,0.71,0.24,10,reviewed,nc,nc
2018-11-01T12:10:33.205Z,36.9116,-116.0292,2.7,-0.3,ml,4,270.57,0.031,0.0355,nn,nn00663741,2018-11-01T19:15:13.394Z,"65km E of Beatty, Nevada",earthquake,,4.9,0.25,3,reviewed,nn,nn
2018-11-01T12:06:27.050Z,18.9018333,-155.1923333,36.38,2.12,md,59,253,0.3588,0.11,hv,hv70678697,2018-11-01T22:48:19.870Z,"45km SE of Pahala, Hawaii",earthquake,0.64,1.22,0.145,27,reviewed,hv,hv
2018-11-01T12:05:30.520Z,37.4476662,-121.8011703,5.53,1.58,md,14,86,0.002752,0.04,nc,nc73104776,2018-11-01T13:51:04.956Z,"9km NNE of Alum Rock, CA",earthquake,0.36,0.39,0.16,12,automatic,nc,nc
2018-11-01T12:02:20.790Z,46.8905,-112.5228333,13.79,1.07,ml,10,108,0.112,0.11,mb,mb80318174,2018-11-01T14:57:05.050Z,"14km ESE of Lincoln, Montana",earthquake,0.4,0.59,0.235,2,reviewed,mb,mb
2018-11-01T12:01:57.693Z,38.1486,-119.007,11.1,1,ml,9,136.09,0.408,0.156,nn,nn00663718,2018-11-01T17:58:11.591Z,"22km ESE of Bridgeport, California",earthquake,,5.6,0.25,3,reviewed,nn,nn
2018-11-01T11:53:47.559Z,61.9977,-150.556,14.7,1.9,ml,,,,0.97,ak,ak20308641,2018-11-01T11:57:23.690Z,"39km NW of Willow, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-01T11:51:09.074Z,36.5438,-116.2585,9,0.2,ml,15,128.11,0.093,0.1292,nn,nn00663716,2018-11-01T17:48:56.101Z,"44km NNW of Pahrump, Nevada",earthquake,,1.8,0.11,4,reviewed,nn,nn
